bear ID,sample ID,species,date of birth,date of sampling,environment,sex,age,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave
Sasuke,210622 Sasuke,BB,2015/2/1,2021/6/22,Captive,M,-0.670956451,-0.41817796,-0.370664904,-0.769504501,-0.872751476
Maron,200604 Maron,BB,2013/2/1,2020/6/4,Captive,F,-0.565455363,-0.297482814,-0.556230662,-0.68071092,-0.695352433
Marin,210322 Marin,BB,2013/2/1,2021/3/22,Captive,F,-0.47696985,-0.357654446,-0.551991023,-0.620151242,-0.672343911
Turara,210520 Turara,BB,2013/2/1,2021/5/20,Captive,M,-0.459042045,-0.388268084,-0.486439674,-0.622197178,-0.558301669
Syosuke,210520 Syosuke,BB,2013/2/1,2021/5/20,Captive,M,-0.459042045,-0.223235945,-0.182164012,-0.456476438,-0.618323902
Meruru,210618 Meruru,BB,2013/2/1,2021/6/18,Captive,M,-0.450230073,-0.324225762,-0.364142382,-0.641428967,-0.404244606
Ren,200623 Ren,BB,2011/2/1,2020/6/23,Captive,M,-0.337719515,-0.157786099,-0.35761986,-0.231423583,-0.350224596
Kanta,210607 Kanta,BB,2006/2/1,2021/6/7,Captive,M,0.32327076,0.187409057,0.209187323,0.333663679,0.279008474
Mantarou,210607 Mantarou,BB,2006/2/1,2021/6/7,Captive,M,0.32327076,0.491082267,0.517702625,0.611092472,0.472746902
Moriko,201111 Moriko,BB,2001/2/1,2020/11/11,Captive,F,0.814880629,0.88202194,0.518354877,0.553397103,0.541105556
Hokuto,200606 Hokuto,BB,1999/2/1,2020/6/6,Captive,M,0.988832416,0.794755478,1.001999901,0.903251997,0.809538318
Koron,211027 Koron,BB,1999/2/1,2021/10/27,Captive,F,1.143254415,0.680746069,1.419767451,0.860287361,1.105647998
Raisa,210126 Raisa,BB,1991/2/1,2021/1/26,Captive,F,1.947819026,1.733925582,2.160399851,2.113627173,1.951294563
Kiko,210427 Kiko,BB,1990/2/1,2021/4/27,Captive,F,2.08644262,1.253256282,1.832316982,1.603780159,1.726878105
